hotelindex,hotelid,hotelname,price
0,1022061,Trump International Hotel Las Vegas,$116 - 240*
1,1123368,Encore At Wynn Las Vegas,"$169 - 1,305*"
2,114889,Harrah's Las Vegas,$51 - 188*
3,114898,"Stratosphere Hotel, Casino and Tower",$35 - 130*
4,121312,Bally's Las Vegas,$62 - 201*
5,143336,Paris Las Vegas,$109 - 278*
6,1474086,Vdara Hotel & Spa,$129 - 281*
7,1829539,The Cosmopolitan of Las Vegas,$164 - 454*
8,217598,Desert Rose Resort,$86 - 238*
9,2515397,"South Point Hotel, Casino and Spa",$55 - 176*
10,2515415,ARIA Resort & Casino,$148 - 558*
11,2515425,Vdara Hotel & Spa,$129 - 281*
12,2515443,Venetian Resort Hotel Casino,$161 - 427*
13,2515454,The Orleans Hotel & Casino,$34 - 132*
14,2515462,Trump International Hotel Las Vegas,$116 - 240*
15,2515467,Tropicana Las Vegas,$66 - 188*
16,2515499,Bellagio Las Vegas,$178 - 365*
17,2515511,The Palazzo Resort Hotel Casino,$167 - 416*
18,2515540,Wynn Las Vegas,"$157 - 1,305"
19,2515559,Encore At Wynn Las Vegas,"$169 - 1,305"
20,2515577,Signature at MGM Grand,$107 - 255*
21,2515578,Desert Rose Resort,$86 - 238*
22,2515579,Red Rock Casino Resort & Spa,$119 - 303*
23,2515582,Platinum Hotel and Spa,$138 - 245*
24,2515585,Caesars Palace,$156 - 476*
25,2515591,Paris Las Vegas,$109 - 278*
26,2515598,THEhotel at Mandalay Bay,$124 - 325*
27,2515603,The Cosmopolitan of Las Vegas,$164 - 454*
28,2515604,Golden Nugget,$53 - 225*
29,2515605,Bill's Gamblin' Hall & Saloon,$51 - 153*
30,2515633,The Mirage Hotel & Casino,$96 - 258*
31,2515650,"Stratosphere Hotel, Casino and Tower",$35 - 130*
32,2515666,Mandalay Bay Resort & Casino,$90 - 279*
33,2515676,Planet Hollywood Resort & Casino,$105 - 269*
34,2515699,Hard Rock Hotel and Casino,$63 - 249*
35,2515740,MGM Grand Hotel and Casino,$78 - 234*
36,2515773,Treasure Island - TI Hotel & Casino,$73 - 323*
37,2515779,New York - New York Hotel and Casino,$75 - 189*
38,2515796,Excalibur Hotel & Casino,$38 - 140*
39,2515805,Rio All-Suite Hotel & Casino,$61 - 231*
40,2515829,Harrah's Las Vegas,$51 - 188*
41,2515836,Monte Carlo Resort & Casino,$67 - 183*
42,2515840,Bally's Las Vegas,$62 - 201*
43,2515861,LVH - Las Vegas Hotel & Casino,$54 - 224*
44,2515872,Circus Circus Hotel & Casino Las Vegas,$30 - 97*
45,496876,THEhotel at Mandalay Bay,$124 - 325*
46,503598,Wynn Las Vegas,"$157 - 1,305*"
47,570084,"South Point Hotel, Casino and Spa",$55 - 176*
48,596543,Red Rock Casino Resort & Spa,$119 - 303*
49,601419,Signature at MGM Grand,$107 - 255*
